,congressional district,B00001_001E,B06010_003E,B06010_002E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B08014_002E,B08014_003E,B08014_004E,B08016_002E,B08101_009E,B08101_017E,B08101_025E,B08101_033E,B09010_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25027_002E,B25027_010E,Year,state
427,1,10503,531037,73678,101315,44938,73725,63981,73681,57450,27035,88912,4687,48197,149705,12371.0,288711,31800,4004,5181,35387,506210,3547,0,0,135582,15910,33884,70442,35223,96345,47917,10267,7621,151953,61121,2010,Maryland
428,2,8407,499783,70026,86567,46484,72600,72278,84612,55372,21633,60237,17196,95944,141593,63040.0,269971,37665,19425,7250,47992,469374,5366,112,0,129539,17213,36797,75099,32723,65857,32839,7706,4806,117786,42875,2010,Maryland
429,3,9250,520006,73860,85855,41631,64739,58448,77636,64802,25711,101184,15293,85240,164936,102059.0,281520,36501,17976,12040,23787,494780,3587,58,0,88885,17199,26784,61541,29866,118214,65396,18776,11597,139639,44361,2010,Maryland
430,4,8819,497758,71061,79636,38259,62221,54880,75371,62661,29091,95639,20181,93942,142437,,241489,42818,62708,4024,31802,468777,4937,168,0,105087,11007,26057,74793,29288,93721,54670,10727,10219,138172,23754,2010,Maryland
431,5,9484,540190,73746,94219,36075,65259,56341,72399,63903,31031,120963,8999,65345,140090,,288454,45451,28558,7833,32854,496068,4348,0,65,127556,11524,34740,78289,34347,90161,50239,9608,8931,161875,36297,2010,Maryland
432,6,10692,529173,73308,97826,45710,75212,60529,73464,63026,25297,88109,7146,49032,152463,60511.0,286191,38510,6636,7881,30134,504946,3535,0,51,142377,17272,33417,62972,39125,94218,47705,6538,7935,153144,54757,2010,Maryland
433,7,7705,443783,86146,107815,36976,63356,52158,56218,43706,15170,68384,30313,71606,107276,115028.0,187743,25479,37944,11467,51227,427076,4559,87,0,93654,16492,23567,56981,21178,78794,45375,11535,10162,98289,33324,2010,Maryland
434,8,10318,522938,67690,85658,36559,68304,55176,62725,50795,21824,141897,19148,92223,165082,96912.0,235632,45907,68377,9241,20775,506243,8737,0,0,69057,6235,17000,52302,23000,125607,82706,38455,32196,129918,39002,2010,Maryland
435,1,9783,440273,77704,125615,63055,85793,61558,54487,25808,7063,16894,10213,53606,88340,36730.0,192403,31710,1273,5455,77338,424940,8590,0,0,114777,26870,28818,65847,34046,39733,12290,3327,1774,85247,63650,2018,North Carolina
436,2,10617,492395,87854,117735,61975,91933,71405,68759,37684,14247,28657,7520,60849,123438,64699.0,253909,31038,2040,8763,53294,460198,6634,86,66,118957,20921,34520,78833,42928,63919,17858,2777,2069,115657,55555,2018,North Carolina
437,3,10260,534559,63107,122351,57237,93448,78497,83763,43202,17426,38635,7186,66819,147478,72733.0,274208,41677,1966,9950,34125,471345,4117,0,0,107923,26266,39110,82604,45288,75849,23274,6238,4043,125425,63248,2018,North Carolina
438,4,10248,567046,90021,103897,49032,78415,66721,79280,59339,24576,105786,10962,84571,186965,228933.0,313887,36125,9752,9237,31120,543561,3858,93,0,71179,15279,23504,67894,42423,166528,73170,18126,22674,163053,42705,2018,North Carolina
439,5,9363,496709,70258,119333,60419,92871,71346,68011,35819,12131,36779,6945,52465,117887,50183.0,256090,25532,1086,4061,36127,477136,5320,0,44,129861,18186,30073,68726,39870,74980,25879,7162,4171,121848,81384,2018,North Carolina
440,6,9229,501910,76741,98037,58568,96223,74390,74512,41577,16767,41836,5579,54823,132316,78650.0,270725,28228,663,2113,37697,490695,3693,0,0,118904,25443,31736,72566,43491,85700,29367,6674,4384,133044,74189,2018,North Carolina
441,7,9751,517048,83775,129217,67915,95595,70462,66627,36382,12512,38338,6627,61885,128838,56727.0,246641,31011,778,4257,62928,501159,4615,26,19,120739,22220,33997,74640,45608,77224,26073,6480,5023,118517,76552,2018,North Carolina
442,8,8709,470157,85074,105653,61065,89335,67555,69505,34681,12718,29645,7946,66344,117168,134176.0,239747,32705,4263,3464,61031,455982,6327,81,230,112045,20722,33269,73409,38473,64384,20298,4397,2496,119168,51009,2018,North Carolina
443,9,10570,576325,85220,99010,56497,81897,75516,91191,56852,24910,90452,5946,82863,192924,193754.0,330238,31921,5639,4738,39581,567132,4065,0,0,100662,16278,34102,91190,47986,152488,52550,13390,4689,187739,47978,2018,North Carolina
444,10,9275,480472,77240,111936,64952,97148,71931,62934,32941,9946,28684,4575,45627,111587,34053.0,241547,23350,830,3136,42699,470349,5194,0,125,122052,25162,34102,71969,46276,59410,21018,4390,2223,122685,71386,2018,North Carolina
445,11,8783,523243,67489,123565,68433,100259,81582,68625,39156,11726,29897,8805,56150,121384,39688.0,231634,29635,1388,6868,44217,505156,4527,0,55,124519,24593,31324,82256,47399,84976,28972,8922,5771,116280,94761,2018,North Carolina
