,congressional district,B00001_001E,B06010_003E,B06010_002E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B08014_002E,B08014_003E,B08014_004E,B08016_002E,B08101_009E,B08101_017E,B08101_025E,B08101_033E,B09010_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25027_002E,B25027_010E,Year,state
510,5,10160,516924,93960,124039,68640,102899,73470,65842,36269,12545,33220,8675,60362,127255,42151.0,252259,34615,905,3848,66801,510817,7447,0,170,153176,24516,30033,69304,43521,65644,24506,3414,2106,120857,79847,2016,South Carolina
511,6,8848,455908,98280,142554,67849,81584,59940,50426,27257,7648,18650,12080,59119,96879,64495.0,199403,25422,3285,5134,77275,437941,5611,0,74,137230,16574,22056,62775,32587,45084,21987,4215,3270,83400,72682,2016,South Carolina
512,1,10315,622930,84965,132514,70535,113064,80256,94122,57977,18579,55883,10907,88028,180849,125730.0,326054,34195,2675,11252,54295,584358,5643,0,0,141622,21348,39447,90554,50401,114251,44161,11666,6249,158876,73240,2014,South Carolina
513,2,10566,579852,78087,118234,59630,101827,79579,87954,56538,19759,56331,8423,77155,159402,38784.0,307075,32623,920,4844,49295,545234,3834,0,244,122728,17618,30670,86627,44968,110533,48709,11769,7340,149600,71027,2014,South Carolina
514,3,9359,508604,81277,128807,66699,101805,65550,63715,36956,13675,31397,5319,54145,117502,18993.0,245588,25313,822,5927,55790,485663,7559,0,73,130163,28773,29162,68493,40009,61015,26621,4021,5457,114056,85937,2014,South Carolina
515,4,9643,526905,88803,117822,64281,101907,68063,71778,41247,15478,46329,6830,66874,138636,52544.0,284225,29677,1122,5911,49396,510344,7178,0,0,117811,26218,30902,72768,47931,87814,32071,7422,5166,133993,66645,2014,South Carolina
516,5,10160,516924,93960,124039,68640,102899,73470,65842,36269,12545,33220,8675,60362,127255,42151.0,252259,34615,905,3848,66801,510817,7447,0,170,153176,24516,30033,69304,43521,65644,24506,3414,2106,120857,79847,2014,South Carolina
517,6,8848,455908,98280,142554,67849,81584,59940,50426,27257,7648,18650,12080,59119,96879,64495.0,199403,25422,3285,5134,77275,437941,5611,0,74,137230,16574,22056,62775,32587,45084,21987,4215,3270,83400,72682,2014,South Carolina
518,1,10315,622930,84965,132514,70535,113064,80256,94122,57977,18579,55883,10907,88028,180849,125730.0,326054,34195,2675,11252,54295,584358,5643,0,0,141622,21348,39447,90554,50401,114251,44161,11666,6249,158876,73240,2012,South Carolina
519,2,10566,579852,78087,118234,59630,101827,79579,87954,56538,19759,56331,8423,77155,159402,38784.0,307075,32623,920,4844,49295,545234,3834,0,244,122728,17618,30670,86627,44968,110533,48709,11769,7340,149600,71027,2012,South Carolina
520,3,9359,508604,81277,128807,66699,101805,65550,63715,36956,13675,31397,5319,54145,117502,18993.0,245588,25313,822,5927,55790,485663,7559,0,73,130163,28773,29162,68493,40009,61015,26621,4021,5457,114056,85937,2012,South Carolina
521,4,9643,526905,88803,117822,64281,101907,68063,71778,41247,15478,46329,6830,66874,138636,52544.0,284225,29677,1122,5911,49396,510344,7178,0,0,117811,26218,30902,72768,47931,87814,32071,7422,5166,133993,66645,2012,South Carolina
522,5,10160,516924,93960,124039,68640,102899,73470,65842,36269,12545,33220,8675,60362,127255,42151.0,252259,34615,905,3848,66801,510817,7447,0,170,153176,24516,30033,69304,43521,65644,24506,3414,2106,120857,79847,2012,South Carolina
523,6,8848,455908,98280,142554,67849,81584,59940,50426,27257,7648,18650,12080,59119,96879,64495.0,199403,25422,3285,5134,77275,437941,5611,0,74,137230,16574,22056,62775,32587,45084,21987,4215,3270,83400,72682,2012,South Carolina
524,1,10315,622930,84965,132514,70535,113064,80256,94122,57977,18579,55883,10907,88028,180849,125730.0,326054,34195,2675,11252,54295,584358,5643,0,0,141622,21348,39447,90554,50401,114251,44161,11666,6249,158876,73240,2010,South Carolina
525,2,10566,579852,78087,118234,59630,101827,79579,87954,56538,19759,56331,8423,77155,159402,38784.0,307075,32623,920,4844,49295,545234,3834,0,244,122728,17618,30670,86627,44968,110533,48709,11769,7340,149600,71027,2010,South Carolina
526,3,9359,508604,81277,128807,66699,101805,65550,63715,36956,13675,31397,5319,54145,117502,18993.0,245588,25313,822,5927,55790,485663,7559,0,73,130163,28773,29162,68493,40009,61015,26621,4021,5457,114056,85937,2010,South Carolina
527,4,9643,526905,88803,117822,64281,101907,68063,71778,41247,15478,46329,6830,66874,138636,52544.0,284225,29677,1122,5911,49396,510344,7178,0,0,117811,26218,30902,72768,47931,87814,32071,7422,5166,133993,66645,2010,South Carolina
528,5,10160,516924,93960,124039,68640,102899,73470,65842,36269,12545,33220,8675,60362,127255,42151.0,252259,34615,905,3848,66801,510817,7447,0,170,153176,24516,30033,69304,43521,65644,24506,3414,2106,120857,79847,2010,South Carolina
529,6,8848,455908,98280,142554,67849,81584,59940,50426,27257,7648,18650,12080,59119,96879,64495.0,199403,25422,3285,5134,77275,437941,5611,0,74,137230,16574,22056,62775,32587,45084,21987,4215,3270,83400,72682,2010,South Carolina
